"Bill of Material for "
"On 8.09.2016 at 22:36:29"

"Comment","Pattern","Quantity","Components"

"","SOT23-3","1","Q1","Transistor NPN"
"100nF","CAP-0603-GEN","2","C1, C2","Capacitor"
"100uF","CAP-1206-GEN","1","C5","Capacitor"
"10K","RESISTOR 0603","5","R1, R2, R3, R4, R5","Resistor"
"10nF","CAP-0603-GEN","1","C4","Capacitor"
"1K","RESISTOR 0603","1","R6","Resistor"
"22uF","CAP-0603-GEN","1","C3","Capacitor"
"5V","SOT23-5","1","U1",""
"Connector 1x2","Screw terminal 5mm","1","J2","Single row two pin header"
"Connector 1x6","PINHEADER 1x6 2.54","1","J1","Single row six pin header"
"Diode","DIODE 0603","1","D1","Diode"
"ESP8266 ESP-12-E","ESP8266 ESP-12-E","1","IC1","ESP8266 ESP-12-E"
"Push button","TACTILE SWITCH","2","*1, *2",""
"Relay","RELAY IMC03GR SMD","1","*3",""
"USB connector","USB MICRO-B MOLEX SMD","1","USB1","USB Connector"
